"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1204","Авторизация пользователя ","tests","Wed Apr 09 15:39:39 GET 2025","passed","Wed Apr 09 15:39:40 GET 2025","TestAuthorisation","test_authorisation","",""
"","4675","Создание рецепта","tests","Wed Apr 09 15:39:40 GET 2025","passed","Wed Apr 09 15:39:45 GET 2025","TestCreateRecipe","test_create_recipe","",""
"","2536","Создание аккаунта","tests","Wed Apr 09 15:39:36 GET 2025","passed","Wed Apr 09 15:39:39 GET 2025","TestCreateAccount","test_create_account","",""
